id,name,city_id,longitude,latitude,address,phone,website,has_reservation,master_rating,cuisine,blurb,price,last_updated,genre,recom_bf,recom_lunch
32,Finjan,1,4.393214,51.20826,"Graaf Van Hoornestraat 1, 2000 Antwerpen",03 248 77 14,http://www.finjan.be/,0,4.0,Fastfood / Middle Eastern,Not your average pita,€€ - €€€,2017-11-25 23:09:19.693000,Adventurous,0,0
33,Loa Streetfood,1,4.3971579,51.2183963,"Hoostraat 77, 2000 Antwerpen",03 291 64 85,http://www.loa.be/,0,4.25,Fastfood,World cuisine - Streetfood Style,€€ - €€€,2017-11-25 23:09:20.249000,Adventurous,0,0
34,Gollem ,1,4.3986223,51.2207371,"Suikerrui 28, 2000 Antwerpen",03 689 49 89,https://gollem.be/,1,4.25,Fastfood / Burger,Beer & Burgers,€€ - €€€,2017-11-25 23:09:20.769000,Traditional,0,0
35,Sombat Thai Cuisine,1,4.3992689,51.1956637,"Desguinlei 196, 2018 Antwerpen",03 226 21 90,http://www.sombat.be/,0,4.25,Thai,Home chef - Thai Style,€€€€,2017-11-25 23:09:21.166000,Traditional,0,0
36,Beni Falafel,1,4.4183717,51.2054913,"Lange Leemstraat 188, 2018 Antwerpen",03 218 82 11,http://benifalafel.be/en,1,4.5,Fastfood / Middle Eastern,Best falafel in town!,€,2017-11-25 23:09:21.637000,Adventurous,0,0
37,De broers van Julienne,1,4.401815,51.2103499,"Kasteelpleinstraat 45-47, 2000 Antwerpen",03 232 02 03,https://www.debroersvanjulienne.be/,0,3.75,Vegetarian,Vegetarian heaven,€€ - €€€,2017-11-25 23:09:22.186000,Traditional,0,1
38,Pasta Hippo Vino,1,4.3999316,51.2199192,"Oude Koornmarkt 32-34, 2000 Antwerpen",03 213 16 86,http://www.pasta-hippo-vino.be/,0,3.75,Italian,Pasta and wine delight,€€ - €€€,2017-11-25 23:09:22.689000,Traditional,0,0
39,Satay,1,4.4048125,51.2212212,"Wijngaardbrug 8, 2000 Antwerpen",0486 31 96 21,http://www.satay.be/,1,4.5,Asian,Asian satay all the way,€,2017-11-25 23:09:23.221000,Adventurous,0,0
40,Flaneur,1,4.3918447,51.207877,"Leopold de Waelstraat 20, 2000 Antwerpen",0491 12 51 67,http://www.flaneur.be/,0,3.25,Italian,Sweet Spaghetti!,€€ - €€€,2017-11-25 23:09:23.665000,Traditional,0,0
41,Tamo,1,4.3954256,51.2107919,"Volkstraat 44, 2000 Antwerpen",03 689 99 49,https://www.tamorestaurant.com/,1,4.0,Thai,Craving for spciy food - Go Tamo!,€€ - €€€,2017-11-25 23:09:24.133000,Adventurous,0,0
42,Otomat,1,4.4055286,51.2274536,"Van Schoonbekeplein 11, 2000 Antwerpen",03 283 48 48,http://otomat.be/,0,3.75,Italian,Pizza with a twist!,€€ - €€€,2017-11-25 23:09:24.657000,Traditional,0,0
43,U Eat Sleep,1,4.4052587,51.2300089,"Nassaustraat 42, 2000 Antwerpen",03 201 90 70,http://www.u-eatsleep.be/nl/u-eat,1,4.0,Belgian,Two-star chef at a fraction of the price,€€ - €€€,2017-11-25 23:09:25.169000,Traditional,0,0
44,Native,1,4.3969383,51.2170671,"Muntstraat 8, 2000 Antwerpen",0478 40 07 11,http://native.bio/,0,4.25,Vegetarian,Bio Bistro,€€ - €€€,2017-11-25 23:09:25.626000,Traditional,0,1
45,Barnini,1,4.4089493,51.2149533,"Oudevaartplaats 10, 2000 Antwerpen",03 485 82 69,http://barnini.be/nl,0,4.0,Belgian,Great breakfast & delicious bagels,€,2017-11-25 23:09:26.188000,Traditional,1,1
46,Visbistro Mojo,1,4.4021437,51.2095182,"Kasteelpleinstraat 54-56, 2000 Antwerpen",03 237 49 00,http://www.visbistro-mojo.be,0,4.25,Fish & seafood,Fresh seafood at it's best,€€ - €€€,2017-11-25 23:09:26.702000,Traditional,0,0
47,Bar Vert,1,4.4213344,51.2018055,"Helenalei 2-4, Antwerpen 2018",+32 3 297 41 88,https://www.facebook.com/lunchbarvert/,0,4.75,Mediterranean,Quick lunch with lots of vegetarian options,€€ - €€€,2017-11-25 23:09:27.217000,Traditional,0,1
48,Charlie's,1,4.394799,51.2102826,"Volkstraat 66, 2000 Antwerpen",03 437 38 27,http://www.charliesantwerpen.be/,1,4.0,Belgian,Passionate coffeebar with good breakfast & lunch selection,€€ - €€€,2017-11-25 23:09:27.694000,Traditional,1,1
49,Divers,1,4.3968401,51.2114672,"Volkstraat 9, 2000 Antwerpen",03 344 17 37,http://www.diversantwerpen.be/,0,3.0,Vegetarian,Healthy juices and food,€€ - €€€,2017-11-25 23:09:28.240000,Adventurous,0,1
50,Mirlo's,1,4.4012184,51.2109732,"Verbondstraat 1, 2000 Antwerpen",+32 479 444 671,http://mirlos.be/,0,3.75,Belgian,Trendy place for relaxed restaurant,€,2017-11-25 23:09:28.687000,Traditional,1,1
51,Me & My Monkey,1,4.3961778,51.2177318,"Oever 18, 2000 Antwerpen",N.A.,https://www.facebook.com/mamm666,0,4.25,Coffeebar,Hip coffeebar with it's own vinyl shop,€,2017-11-25 23:09:29.368000,Adventurous,0,1
52,Crumbles & Beans,1,4.4182453,51.226985,"Lange Dijkstraat 16, 2060 Antwerpen",0468 10 50 42,http://crumblesandbeans.blogspot.be/,0,4.5,Belgian,Delicious food. Special recommendation for the great pastries,€€ - €€€,2017-11-25 23:09:29.877000,Traditional,1,1
53,Cafematic,1,4.4023605,51.2150583,"Vleminckveld 4, 2000 Antwerpen",03 225 59 55,https://www.facebook.com/caf%C3%A9matic-antwerpen-181679815204631/,0,4.5,Belgian,Vintage breakfast & lunch,€,2017-11-25 23:09:30.381000,Traditional,1,1
54,Kloonies,1,4.3942203,51.2126406,"Kloosterstraat 183, 2000 Antwerpen",03 689 21 71,https://www.facebook.com/Kloonies/,0,4.5,Belgian,Cosy atmosphere in an informal setting,€€ - €€€,2017-11-25 23:09:31.002000,Traditional,1,1
55,Biologisch Dynamische Bakkerij,1,4.3965445,51.211312,"Volkstraat 17, 2000 Antwerpen",03 216 00 42,https://www.facebook.com/debiologischebakkerij/?rf=135881009814339,0,4.0,European,"Tasty biological food, all across the board",€€ - €€€,2017-11-25 23:09:31.475000,Adventurous,0,1
56,Café Camino,1,4.3967434,51.2170711,"Muntstraat 4, 2000 Antwerpen",03 289 91 97,http://www.caminoantwerp.com/,1,4.5,Korean,Tasty Korean!,€,2017-11-25 23:09:32.021000,Adventurous,0,1
57,Kafeenini,1,4.397661,51.214062,"Nationalestraat 114a, Antwerpen 2000, België",03 231 83 57,http://kaffeenini.be/en,0,4.0,Belgian,Happy coffee and delicious bagels,€,2017-11-25 23:09:32.588000,Traditional,1,1
58,Localstore 2000,1,4.403243,51.2163904,"Everdijstraat 20, 2000 Antwerpen",+32 3 663 66 76,http://local-store.be/,0,3.75,Belgian,"Support the local producer, go Local Store!",€€ - €€€,2017-11-25 23:09:33.138000,Traditional,0,1
59,Salon de Thé Claude,1,4.4040928,51.2211355,"Hendrik Conscienceplein 5, 2000 Antwerpen",+32 3 237 05 01,http://www.salondetheclaude.be/,0,4.75,Belgian,Little gem in the historical quarter,€€ - €€€,2017-11-25 23:09:33.663000,Traditional,0,1
60,Bites & Wines,1,4.4022648,51.2215237,"Oude Beurs 60, 2000 Antwerpen", +32 3 233 51 45,http://www.bitesandwines.be/,1,4.0,"European, Vegetarian",Authentic vegan food,€€ - €€€,2017-11-25 23:09:34.172000,Adventurous,0,0
61,Bia Mara,1,4.4004601,51.220951,"Maalderijstraat 1, 2000 Antwerpen",+32 3 707 23 87,http://www.biamara.com/,0,4.25,Seafood,British and good food? It's possible!,€,2017-11-25 23:09:34.618000,Traditional,0,0
62,Copper,1,4.3973328,51.2038819,"Belegstraat 80, 2018 Antwerpen",03 291 30 60,http://www.copper-antwerpen.be/,0,4.25,Belgian,Cosy place serving fresh biological food,€€ - €€€,2017-11-25 23:09:35.102000,Traditional,1,1
63,BLT,1,4.4074019,51.1981839,"Lange Lozanastraat 292, 2018 Antwerpen",0468 11 64 25,https://www.facebook.com/BLT-329889003849277/,0,3.75,Belgian,"Breakfast, Lunch, and Tapas, all day long",€€ - €€€,2017-11-25 23:09:35.619000,Traditional,1,1
64,Café Kamiel,1,4.402572,51.1985164,"Markgravelei 90, 2018 Antwerpen",03 290 38 25,https://www.facebook.com/CafeKamiel/,0,4.0,Belgian,"Spaghetti à volonté, or just a delicious piece of pie",€€ - €€€,2017-11-25 23:09:36.118000,Adventurous,1,0
65,Caravan,1,4.4242267,51.2325126,"Damplein 17, 2000 Antwerpen",03 297 68 52,http://decaravan.be/,0,4.0,International,Fresh no-nonsense restaurant,€€ - €€€,2017-11-25 23:09:36.629000,Traditional,0,0
66,Esco*Bar,1,4.4159795,51.2164425,"Quellinstraat 32, 2000 Antwerpen",+32 3 336 18 11,http://www.koffieenlunchescobar.be/,0,4.25,European,Coffeebar with nice selection for lunch or breakfast,€€ - €€€,2017-11-25 23:09:37.045000,Traditional,1,1
67,Starfish & Coffee,1,4.3982528,51.2068844,"Bresstraat 9, 2018 Antwerpen",0486 987 977,http://starfishandcoffeeantwerpen.blogspot.be/,0,4.5,Belgian,It's said they have the best cakes and sandwiches in the city…,€€ - €€€,2017-11-25 23:09:37.549000,Traditional,1,1
68,The Back Bar,1,4.3992641,51.2160171,"Nationalestraat 49, 2000 Antwerpen",+32 3 334 55 41,http://www.thebackbar.be/,0,3.75,Belgian,Hip boutique serving excellenet breakfast or lunch,€€ - €€€,2017-11-25 23:09:38.069000,Adventurous,1,1
69,Cordoba,1,4.4059656,51.2298749,"Napoleonkaai 1, 2000 Antwerpen",+32 473 85 36 45,http://www.cordoba-foodbar.be/,0,4.25,Belgian,Lunch or breakfast with a view,€€ - €€€,2017-11-25 23:09:38.729000,Traditional,1,1
70,No Worries,1,4.4100127,51.2303139,"Kribbestraat 20, 2000 Antwerpen", +32 495 38 87 14,http://noworriesantwerpen.be/,0,5.0,Belgian,Hakuna matata! ,€€ - €€€,2017-11-25 23:09:39.290000,Traditional,1,1
71,Texas Coffee,1,4.3950109,51.2100613,"Volkstraat 63, 2000 Antwerpen",0477 93 11 75,http://www.texas-coffee.be/,0,3.0,Belgian,All day breakfast,€€ - €€€,2017-11-25 23:09:39.701000,Adventurous,1,0
72,Livelli,1,4.3878848,51.2089263,"Waalsekaai 45, 2000 Antwerpen",03 216 31 60,http://livelli.be/,1,5.0,Italian,Lasagna Layers of Hapiness,€€ - €€€,2017-11-25 23:09:40.216000,Traditional,0,0
73,SANBA,1,4.4031219,51.2324215,"Rijnkaai 22, 2000 Antwerpen",03 281 48 21,http://www.sanba.be,0,4.5,European,Soon to be your favorite hang-out place,€€ - €€€,2017-11-25 23:09:40.722000,Traditional,0,0
74,Basil & Time,1,4.3974056,51.2098856,"De Vrièrestraat 4, 2000 Antwerpen",03 434 31 44,https://www.basil-time.be/,0,3.75,Belgian,Lunch place with friendly staff and retro styling,€€ - €€€,2017-11-25 23:09:41.101000,Traditional,0,0
